demand_id,status,segment,facility_name,owner_operator,location,scale,project_stage,est_buy_window,est_completion_date,signal_source,source_url,first_seen,last_reviewed,est_value,next_action,notes
demand-radar-pilot-a-pip-reflag-houston-hotel-rockefeller-center-finally-checks-in-nell-new-york-b-hotel-b-coming-in-2027-hoodline-ny,reviewing,hotel,Rockefeller Center Finally Checks In: Nell New York <b>Hotel</b> Coming In 2027 - Hoodline,,NY,,renovation,2027-01,2027,Demand Radar: Pilot A PIP-Reflag Houston,https://hoodline.com/2026/07/rockefeller-center-finally-checks-in-nell-new-york-hotel-coming-in-2027/,2026-07-09,2026-07-09,,WATCH: re-check near buy-window 2027-01,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; completion: 2027; out-of-region: NY"
demand-radar-pilot-b-independent-houston-hotel-hotel-investments-b-independent-hotel-b-groups-are-expanding-globally-beyond-marriott-and-hilton,reviewing,hotel,Hotel Investments: <b>Independent Hotel</b> Groups Are Expanding Globally Beyond Marriott and Hilton,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://eturbonews.com/independent-hotel-groups-global-expansion-fattal-wttc/,2026-07-09,2026-07-09,,REVIEW: size & locate,"facility (hotel): hotel, marriott, hilton; project trigger: renovation -> renovation"
demand-radar-pilot-b-independent-houston-hotel-second-nature-is-the-new-name-for-room2-following-b-rebrand-b-boutique-hotelier,reviewing,hotel,Second Nature is the new name for room2 following <b>rebrand</b> - Boutique Hotelier,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.boutiquehotelier.com/second-nature-room2-hometels-rebranding/,2026-07-09,2026-07-09,,REVIEW: size & locate,facility (hotel): hotel; project trigger: rebrand -> renovation
demand-radar-pilot-b-independent-houston-hotel-new-39-b-extended-stay-hotel-b-39-in-cork-city-at-south-terrace-copley-street-thecork-ie,reviewing,hotel,New &#39;<b>Extended Stay Hotel</b>&#39; in Cork City at South Terrace / Copley Street - TheCork.ie,,,,under-construction,,,Demand Radar: Pilot B Independent Houston,https://www.thecork.ie/2026/07/08/new-extended-stay-hotel-in-cork-city-at-south-terrace-copley-street/,2026-07-09,2026-07-09,,REVIEW: size & locate,"facility (hotel): hotel, extended stay; project trigger: under construction -> under-construction"
demand-radar-pilot-b-independent-houston-hotel-b-boutique-hotel-b-makes-its-debut-in-aspen-mile-high-cre,reviewing,hotel,<b>Boutique Hotel</b> Makes its Debut in Aspen - Mile High CRE,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://milehighcre.com/boutique-hotel-makes-its-debut-in-aspen/,2026-07-09,2026-07-09,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation; non-demand exclude co-occurs -> review: retail
demand-radar-pilot-b-independent-houston-hotel-amman-marriott-hotel-reopens-following-a-thoughtful-b-renovation-b,reviewing,hotel,AMMAN MARRIOTT HOTEL REOPENS FOLLOWING A THOUGHTFUL <b>RENOVATION</b>,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://hotelandcatering.com/news/amman-marriott-hotel-reopens-following-a-thoughtful-renovation,2026-07-09,2026-07-09,,REVIEW: size & locate,"facility (hotel): hotel, suites, marriott; project trigger: opening, renovation -> renovation"
demand-radar-pilot-b-independent-houston-hotel-b-boutique-hotel-b-providence-sold-for-10-25m-msn-hi,reviewing,hotel,<b>Boutique hotel</b> Providence sold for $10.25M - MSN,,HI,,renovation,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://www.msn.com/en-us/travel/tripideas/boutique-hotel-providence-sold-for-10-25m/ar-AA27qscM,2026-07-09,2026-07-09,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel, resort; project trigger: renovation -> renovation; completion: 2026; out-of-region: HI"
demand-radar-pilot-b-independent-houston-hotel-alpine-house-completes-b-renovation-b-lodging-magazine,reviewing,hotel,Alpine House Completes <b>Renovation</b> - LODGING Magazine,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://lodgingmagazine.com/alpine-house-completes-renovation/,2026-07-14,2026-07-14,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation
demand-radar-pilot-b-independent-texas-hotel-manhattan-39-s-soho-neighborhood-prepares-for-broome-hotel-comeback-with-architectural-tx,reviewing,hotel,Manhattan&#39;s SoHo Neighborhood Prepares for Broome Hotel Comeback With Architectural ...,,TX,14 room,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.travelandtourworld.com/news/article/o9wpb2z8lavw/,2026-07-14,2026-07-14,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation; scale: 14 room
demand-radar-pilot-b-independent-texas-hotel-club-metr-polis-opens-in-madrid-b-boutique-hotel-b-news-tx,reviewing,hotel,Club Metrópolis opens in Madrid - <b>Boutique Hotel</b> News,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://boutiquehotelnews.com/news/hotel/club-metropolis-opens-in-madrid/,2026-07-14,2026-07-14,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation
demand-radar-pilot-b-independent-texas-hotel-alpine-house-reimagined-the-intimate-20-room-hotel-returns-with-fresh-interiors-rooted-tx,reviewing,hotel,Alpine House Reimagined: The Intimate 20-Room Hotel Returns with Fresh Interiors Rooted ...,,TX,20 room,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.hospitalitynet.org/announcement/41014759/alpine-house-reimagined-the-intimate-20-room-hotel-returns-with-fresh-interiors-rooted-in-place-and-connection,2026-07-14,2026-07-14,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation; scale: 20 room
demand-radar-pilot-b-independent-texas-hotel-developer-asking-for-7-8m-in-tax-breaks-to-build-89-suite-marriott-hotel-in-auburn-tx,reviewing,hotel,Developer Asking for $7.8M in Tax Breaks To Build 89-Suite Marriott Hotel in Auburn,,TX,89 suite,,,,Demand Radar: Pilot B Independent Texas,https://www.hotel-online.com/news/developer-asking-for-78m-in-tax-breaks-to-build-89-suite-marriott-hotel-in-auburn,2026-07-14,2026-07-14,,REVIEW: size & locate,"facility (hotel): hotel, extended stay, marriott; facility named but no project trigger (construction/renovation/opening)"
demand-radar-pilot-b-independent-texas-hotel-alpine-house-completes-b-renovation-b-lodging-magazine-tx,reviewing,hotel,Alpine House Completes <b>Renovation</b> - LODGING Magazine,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://lodgingmagazine.com/alpine-house-completes-renovation/,2026-07-14,2026-07-14,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation
