lead_id,status,source,buyer,solicitation_number,title,portal_url,posted_date,due_date,lead_type,trigger_terms,fit_score,next_action,created_date,last_reviewed,notes
ionwave-rfp-16-26,watching,IonWave,Region 6 ESC — EPIC6 eMarketplace (cooperative),RFP 16.26,School Furniture & Related Services,https://esc6emkt.ionwave.net//VendorLanding.aspx?e=~gqPf4qJl82IxcufTPyQ9-IuXCCj9YYcNVMNjC9-QPySoPqk4bKPBc-sgIOkus0TcSXx7i0X5~PpCfRlT-hnmg,2026-06-18,2026-06-05,co-op_contract_vehicle,furniture,35,MONITOR: ESC6/EPIC6 furniture co-op closed 2026-06-05 (past due at 2026-06-18 sweep); no bid action unless buyer confirms a future/open contract path.,2026-06-18,2026-06-19,"Past due at sweep 2026-06-18 (closed 2026-06-05). ESC6/EPIC6 (Region 6 ESC, IonWave) broad furniture purchasing cooperative — possible recurring vehicle to watch. No current bid action unless buyer confirms a future/open contract path. Original relevance: weak only: furniture (no explicit mattress term). EPIC6/Region 6 ESC IonWave registration confirmed and alert keywords verified 2026-06-19 (furniture, dormitory, mattresses, bedding, institutional furniture, emergency/shelter/correctional)."
ionwave-rfp-15-26,watching,IonWave,Region 6 ESC — EPIC6 eMarketplace (cooperative),RFP 15.26,"Office - Supplies, Equipment, Furniture & Services",,2026-06-18,2026-06-05,co-op_contract_vehicle,furniture,35,MONITOR: ESC6/EPIC6 furniture co-op closed 2026-06-05 (past due at 2026-06-18 sweep); no bid action unless buyer confirms a future/open contract path.,2026-06-18,2026-06-19,"Past due at sweep 2026-06-18 (closed 2026-06-05). ESC6/EPIC6 (Region 6 ESC, IonWave) broad furniture purchasing cooperative — possible recurring vehicle to watch. No current bid action unless buyer confirms a future/open contract path. Original relevance: weak only: furniture (no explicit mattress term). EPIC6/Region 6 ESC IonWave registration confirmed and alert keywords verified 2026-06-19 (furniture, dormitory, mattresses, bedding, institutional furniture, emergency/shelter/correctional)."
buyboard-767-25,watching,BuyBoard,BuyBoard (TASB Local Government Purchasing Cooperative),767-25,"Furniture for School, Office, Science, Library, and Dormitory",https://www.buyboard.com/,2026-06-19,,co-op_contract_vehicle,furniture; dormitory; school furniture,,MONITOR: watch BuyBoard for next furniture/dormitory/correctional RFP. 767-25 closed 2024-10-31; re-bid window est. ~2028 (verify). Inspect 767-25 awarded vendors if accessible.,2026-06-19,2026-06-19,"BuyBoard vendor profile updated 2026-06-19 with mattress, bedding, dormitory, correctional, shelter, and furniture keywords. No current open mattress/furniture opportunities. Closed reference: solicitation 767-25 (closed 2024-10-31). Co-op contract vehicle (broad furniture); explicit mattress fit unconfirmed - do not promote to active without a confirmed product-fit solicitation."
tips-vehicle-watch,watching,TIPS,TIPS - The Interlocal Purchasing System (Region 8 ESC),,TIPS furniture / facilities / shelter / dormitory / correctional categories (vehicle watch),https://www.tips-usa.com/,2026-06-19,,co-op_contract_vehicle,furniture; dormitory furniture; institutional furniture; correctional; shelter; cots,,"MONITOR: review monthly/new TIPS solicitations & alerts, esp. furniture, facilities, shelter/emergency, dormitory, and correctional categories. TIPS furniture is re-solicited ~yearly; respond to the next Furniture, Furnishings & Services RFP. Verify mattress/product fit before any promotion.",2026-06-19,2026-06-19,"TIPS eBid (Region 8 ESC) registration complete; profile/keywords verified 2026-06-19 (mattress, bedding, dormitory furniture, institutional furniture, furniture-related services, correctional/detention, shelter/emergency, cots, public-health/residential). No current matching bid events found. Co-op contract vehicle (broad furniture); do not promote to active without a confirmed product-fit solicitation."
hgacbuy-no-furniture,no-fit,HGACBuy,HGACBuy (Houston-Galveston Area Council),,HGACBuy cooperative - no furniture/FF&E/mattress category (skip),https://www.hgacbuy.org/,2026-06-20,,co-op_contract_vehicle,,,"SKIP: HGACBuy has no furniture/FF&E/mattress/bedding category (verified). No registration value now. Revisit only if HGACBuy adds an FF&E category, or to petition for one.",2026-06-20,2026-06-20,"Operator checklist result 2026-06-20: HGACBuy evaluated and skipped. The HGACBuy contract list has no furniture/FF&E/mattress/bedding category (vehicles, public-safety, and modular buildings only). Co-op contract vehicle; not a current fit."
oklahoma-omes-supplier-portal-registration,watching,Oklahoma OMES Supplier Portal,State of Oklahoma - OMES Central Purchasing,,Oklahoma Supplier Portal bidder/supplier registration and category-code alerts,https://oklahoma.gov/omes/divisions/central-purchasing/suppliers-and-payees/supplier-portal.html,2026-06-20,,other,mattress; bedding; beds; bed frame; furniture; dormitory furniture; institutional furniture; correctional supplies; inmate supplies; detention bedding; jail mattress; shelter supplies; emergency supplies; cots; medical mattress; residential care furniture; public health bedding,,"MONITOR: watch beford@silverlinesleep.com for OMES registration status email and new bid/category alerts. After account approval, confirm alerts arrive for furniture/accommodation/mattress/cot/bed categories before considering the channel fully active.",2026-06-20,2026-06-20,"OMES Bidder/Supplier Registration submitted 2026-06-20. Registration ID 0000018606. Status email expected at BEFORD@SILVERLINESLEEP.COM. Category setup completed 2026-06-20 with broad furniture coverage plus visible high-fit codes including 56000000 Furniture and Furnishings, 56100000 Accommodation furniture, 56101500 Furniture, 56101508 Mattresses or sleep sets, 56101513 Cots or accessories, 56101515 Beds, and 56101521 Bed headboard or footboard. Broad unrelated public-safety/defense categories were skipped. First public-events sweep 2026-06-20 showed 15 open events and no current mattress/bedding/bed-frame/product-fit bid; Department of Corrections Television Service was reviewed but not product fit. Bidder registration is sufficient for solicitation notification/response; full supplier/payment setup can follow if awarded or required."
louisiana-lagov-lapac-registration,watching,LaGov / LaPAC,State of Louisiana - Office of State Procurement,,LaGov vendor enrollment and LaPAC bid-notification categories,https://wwwcfprd.doa.louisiana.gov/osp/lapac/pubMain.cfm,2026-06-20,,other,mattress; bedding; beds; bed frame; furniture; dormitory furniture; institutional furniture; correctional supplies; inmate supplies; detention bedding; jail mattress; shelter supplies; emergency supplies; cots; medical mattress; residential care furniture; public health bedding,,"MONITOR: watch beford@silverlinesleep.com for LaPAC bid alerts and buyer reply on RFx 3000026215. On next LaGov login, verify Product Category (UNSPSC) selections are saved for furniture/accommodation/mattress/cot/bed and related institutional/shelter/correctional terms.",2026-06-20,2026-06-20,"LaGov Supplier Self Registration initial registration completed 2026-06-20. Portal confirmed email notification is driven by Contact Person Details email and selected Product Categories. Operator reported vendor ID/temp-password login and personal password setup completed 2026-06-20; product-category setup believed completed, but should be verified on next login. W-9/EFT can follow for award/payment readiness. LaPAC sweep completed 2026-06-20; see separate Lead Radar rows for RFx 3000026215 and RFx 3000026264."
louisiana-lapac-3000026215,watching,LaPAC,State of Louisiana - Office of State Procurement,3000026215,Mattresses & Box Springs - Statewide,https://wwwcfprd.doa.louisiana.gov/osp/lapac/agency/pdf/9005000.pdf,2026-06-20,2026-06-09,awarded_contract_watch,mattresses; box springs; hospital mattress; dormitory mattress; polyfoam mattress; innerspring mattress; foundations; 42191800,95,"MONITOR: bid opened 2026-06-09 at 10:00 AM Central before this sweep; do not promote to active. Track buyer reply, award/current contractor, and rebid/renewal window; use specs to prepare future Louisiana statewide mattress response.",2026-06-20,2026-06-20,"LaPAC sweep found statewide mattress/box spring vehicle on 2026-06-20. RFx 3000026215, T-Number 90943, product category 42191800. Packet confirms statewide contract for mattresses and box springs; 12-month term with two possible 12-month extensions. Price sheet/specs include hospital/dormitory polyfoam mattresses, residential/dormitory innerspring mattresses, twin XL/full/queen, box foundations, FR/fluid-proof covers, 16 CFR 1633 references. Bid opening date was 2026-06-09, so this is not currently actionable as a bid. Outreach sent 2026-06-20 to buyer Courtnee Viada (courtnee.viada@la.gov) asking whether any late-response, supplemental vendor, secondary award, rebid, renewal, or related opportunity path remains."
louisiana-lapac-3000026264,watching,LaPAC,State of Louisiana - Office of State Procurement,3000026264,Norix BN Furniture - Statewide,https://wwwcfprd.doa.louisiana.gov/osp/lapac/agency/pdf/9015300.pdf,2026-06-20,2026-06-24,broad_furniture_ffe,furniture; institutional furniture; Norix; healthcare; developmental centers; colleges; 56101500,40,REVIEW ONLY: open 2026-06-24 at 10:00 AM Central but specs require Norix brand-name furniture. Do not promote unless Continental Silverline can supply authorized Norix-brand/catalog items or a mattress-specific fit appears.,2026-06-20,2026-06-20,"LaPAC sweep found open statewide Norix brand-name furniture vehicle. RFx 3000026264, T-Number 92914, product category 56101500. Specs require products manufactured by Norix Group and focus on institutional furniture for healthcare, developmental centers, colleges, and related environments. Downloaded specs/price sheet did not mention mattress, bed, cot, or bunk terms; keep as broad institutional furniture watch only."
mississippi-magic-registration,watching,Mississippi MAGIC / Procurement Portal,State of Mississippi - DFA / MAGIC,,MAGIC supplier registration and Mississippi procurement portal watch,https://www.ms.gov/dfa/contract_bid_search,2026-06-20,,other,mattress; bedding; beds; bed frame; furniture; dormitory furniture; hospital beds; institutional furniture; cots; correctional; shelter; emergency supplies,,"MONITOR: watch registration-confirmation email and MS.gov/MAGIC RFx alerts. On next login, verify supplier/product category coverage for furniture, health-care furniture, mattresses/beds, dormitory furniture, cots, institutional/correctional/shelter terms.",2026-06-20,2026-06-20,"Mississippi MAGIC Supplier Self-Registration completed 2026-06-20 by operator. Category-search step reached during registration; operator reported registration complete. DFA supplier page states registration provides vendors the ability to get upcoming bid information, respond electronically, and receive purchase orders electronically. First public sweep used official Mississippi Procurement Portal plus DFA active procurements page; no current open mattress/product-fit bid found."
