opportunity_id,status,source,buyer,solicitation_number,title,portal_url,posted_date,question_deadline,due_date,delivery_location,estimated_value,primary_products,commodity_terms,fit_score,risk_level,next_action,owner,created_date,last_reviewed,notes,procurement_risk,gate_status,compliance_blocker,win_score,win_factors
sam-gov-health-and-human-services-department-of-national-institutes-of-health-national-institutes-of-health-olao-75n9802,watching,SAM.gov,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTES OF HEALTH OLAO",75N98026Q00709,"Service/maintenance agreement for Avantik Tissue Processors, Microtomes, Embedding Centers, and Cryostats",https://sam.gov/workspace/contract/opp/f851579e2de44b7db9d1568cc10a29dd/view,2026-06-26,,2026-07-13,"Durham, NC",,,NAICS 811310; PSC J066,0,,no mattress/bedding signal,,2026-06-29,2026-06-29,Combined Synopsis/Solicitation,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-homeland-security-department-of-us-secret-service-u-s-secret-service-2026,watching,SAM.gov,"HOMELAND SECURITY, DEPARTMENT OF US SECRET SERVICE U S SECRET SERVICE",2026,Request For Information- Ammunition Bunker Expansion,https://sam.gov/workspace/contract/opp/6d40463100b444e8832e9becbab465d0/view,2026-06-26,,2026-07-07,"Laurel, MD",,,NAICS 23; PSC C1AZ,0,,no mattress/bedding signal,,2026-06-29,2026-06-29,Sources Sought,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-health-and-human-services-department-of-national-institutes-of-health-national-institutes-of-health-olao-75n9802,watching,SAM.gov,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTES OF HEALTH OLAO",75N98026Q00709,"Service/maintenance agreement for Avantik Tissue Processors, Microtomes, Embedding Centers, and Cryostats",https://sam.gov/workspace/contract/opp/f851579e2de44b7db9d1568cc10a29dd/view,2026-06-26,,2026-07-13,"Durham, NC",,,NAICS 811310; PSC J066,0,,no mattress/bedding signal,,2026-07-02,2026-07-02,Combined Synopsis/Solicitation,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-homeland-security-department-of-us-secret-service-u-s-secret-service-2026,watching,SAM.gov,"HOMELAND SECURITY, DEPARTMENT OF US SECRET SERVICE U S SECRET SERVICE",2026,Request For Information- Ammunition Bunker Expansion,https://sam.gov/workspace/contract/opp/6d40463100b444e8832e9becbab465d0/view,2026-06-26,,2026-07-07,"Laurel, MD",,,NAICS 23; PSC C1AZ,0,,no mattress/bedding signal,,2026-07-02,2026-07-02,Sources Sought,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-interior-department-of-the-us-fish-and-wildlife-service-fws-construction-a-e-team-1-140fc126q0027,watching,SAM.gov,"INTERIOR, DEPARTMENT OF THE US FISH AND WILDLIFE SERVICE FWS, CONSTRUCTION A/E TEAM 1",140FC126Q0027,ID-KOOTENAI NWR-BUNKHOUSE CONCRETE PATIO,https://sam.gov/workspace/contract/opp/43f0b8eda97b4900b39774b8279cde2a/view,2026-07-09,,2026-07-30,,,,NAICS 238990; PSC Z2EZ,0,,no mattress/bedding signal,,2026-07-13,2026-07-13,Solicitation,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-interior-department-of-the-us-fish-and-wildlife-service-fws-construction-a-e-team-1-140fc126q0027,watching,SAM.gov,"INTERIOR, DEPARTMENT OF THE US FISH AND WILDLIFE SERVICE FWS, CONSTRUCTION A/E TEAM 1",140FC126Q0027,ID-KOOTENAI NWR-BUNKHOUSE CONCRETE PATIO,https://sam.gov/workspace/contract/opp/43f0b8eda97b4900b39774b8279cde2a/view,2026-07-09,,2026-07-30,,,,NAICS 238990; PSC Z2EZ,0,,no mattress/bedding signal,,2026-07-14,2026-07-14,Solicitation,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-interior-department-of-the-us-fish-and-wildlife-service-fws-construction-a-e-team-1-140fc126q0027,watching,SAM.gov,"INTERIOR, DEPARTMENT OF THE US FISH AND WILDLIFE SERVICE FWS, CONSTRUCTION A/E TEAM 1",140FC126Q0027,ID-KOOTENAI NWR-BUNKHOUSE CONCRETE PATIO,https://sam.gov/workspace/contract/opp/43f0b8eda97b4900b39774b8279cde2a/view,2026-07-09,,2026-07-30,,,,NAICS 238990; PSC Z2EZ,0,,no mattress/bedding signal,,2026-07-16,2026-07-16,Solicitation,blocker,blocked,sam_registration_pending; specs_pending,,
sam-gov-interior-department-of-the-us-fish-and-wildlife-service-fws-construction-a-e-team-1-140fc126q0027,watching,SAM.gov,"INTERIOR, DEPARTMENT OF THE US FISH AND WILDLIFE SERVICE FWS, CONSTRUCTION A/E TEAM 1",140FC126Q0027,Z--ID-KOOTENAI NWR-BUNKHOUSE CONCRETE PATIO,https://sam.gov/workspace/contract/opp/36206c9038f84f638bfa7845ff784903/view,2026-07-22,,2026-07-30,,,,NAICS 238990; PSC Z2EZ,0,,no mattress/bedding signal,,2026-07-23,2026-07-23,Solicitation,blocker,blocked,specs_pending,,
sam-gov-agriculture-department-of-forest-service-usda-fs-csa-southwest-7-127eax26q0041,watching,SAM.gov,"AGRICULTURE, DEPARTMENT OF FOREST SERVICE USDA-FS, CSA SOUTHWEST 7",127EAX26Q0041,A&E Design Services for Springerville Bunkhouse,https://sam.gov/workspace/contract/opp/0d8eaf7ced2f466884584a8360bd68f5/view,2026-07-21,,2026-07-28,"Springerville, AZ",,,NAICS 541330; PSC C219,0,,no mattress/bedding signal,,2026-07-23,2026-07-23,Special Notice,blocker,blocked,specs_pending,,
sam-gov-interior-department-of-the-us-fish-and-wildlife-service-fws-construction-a-e-team-1-140fc126q0027,watching,SAM.gov,"INTERIOR, DEPARTMENT OF THE US FISH AND WILDLIFE SERVICE FWS, CONSTRUCTION A/E TEAM 1",140FC126Q0027,Z--ID-KOOTENAI NWR-BUNKHOUSE CONCRETE PATIO,https://sam.gov/workspace/contract/opp/36206c9038f84f638bfa7845ff784903/view,2026-07-22,,2026-07-30,,,,NAICS 238990; PSC Z2EZ,0,,no mattress/bedding signal,,2026-07-27,2026-07-27,Solicitation,blocker,blocked,specs_pending,,
